사용년월,노선번호,노선명,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수
202101,100,100번(하계동~용산구청),창경궁.서울대학교병원,0,0,0,0,0,0,0,0,85,151,153,165,22,135,140,423,285,617,200,392,152,301,93,179,92,156,64,190,89,215,110,102,92,62,101,49,90,37,60,18,38,30,25,40,30,23,18,4
202101,100,100번(하계동~용산구청),명륜3가.성대입구,0,0,0,0,0,0,0,0,61,130,98,212,49,177,132,363,166,464,146,346,61,324,91,195,117,262,82,253,122,253,114,155,98,136,112,146,95,103,70,82,79,63,68,64,43,52,11,10
202101,100,100번(하계동~용산구청),혜화동로터리.여운형활동터,0,0,0,0,0,0,0,0,64,93,76,231,35,175,116,253,193,264,100,263,59,234,52,205,52,246,102,245,48,234,46,207,54,192,41,219,43,187,25,103,21,90,20,107,17,80,1,10
202101,100,100번(하계동~용산구청),원남동,0,0,0,0,0,0,0,0,25,145,60,210,29,148,80,364,272,778,235,600,105,377,147,311,120,271,120,218,103,177,107,143,133,102,209,109,394,121,167,51,113,48,95,25,53,37,14,3
202101,100,100번(하계동~용산구청),종로5가.효제동.김상옥의거터,8,6,0,0,0,0,0,0,0,0,0,0,3,7,12,19,27,64,13,28,16,25,19,30,27,19,50,25,31,39,49,35,51,31,117,31,193,36,70,27,50,19,70,29,34,15,11,13
202101,100,100번(하계동~용산구청),종로5가.효제초등학교,32,5,0,0,0,0,0,0,0,0,0,0,18,11,23,22,50,59,38,38,47,22,89,18,80,23,109,18,135,37,183,43,217,49,322,45,457,50,198,25,198,28,282,21,106,18,34,13
202101,100,100번(하계동~용산구청),종로5가,49,15,0,0,0,0,0,0,0,0,0,0,36,18,12,11,30,44,63,29,86,49,96,60,114,61,157,91,205,95,239,126,286,105,311,115,399,154,174,87,191,37,183,44,84,23,65,30
202101,100,100번(하계동~용산구청),방송통신대.이화장,16,8,0,1,0,0,0,0,0,0,0,0,13,16,38,32,40,40,43,35,42,35,37,48,67,62,43,48,99,57,150,86,140,87,204,108,236,169,146,58,136,39,192,78,93,28,46,16
202101,100,100번(하계동~용산구청),혜화역.마로니에공원,66,34,0,1,0,0,0,0,0,0,0,0,17,13,68,27,78,34,104,40,188,41,184,56,170,60,155,74,225,100,447,102,428,102,364,121,377,210,284,91,309,63,425,84,224,38,166,23
202101,100,100번(하계동~용산구청),혜화역.동성중고(장면총리가옥),53,65,1,0,0,0,0,0,0,0,0,0,43,7,37,30,68,10,80,28,69,21,115,37,149,31,209,45,199,52,314,75,379,111,346,96,394,140,291,69,369,49,594,90,170,41,62,16
